Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
QPID;1;746c2a78d68e699931fd4c9f67749330bec705af;1;1;1;0.0;3;3;0;123;NO;13;2;1131;87;86.0;87;NO
QPID;1;0e0f9e0e71ef0b81472ae9088afda93585e5bf4f;1;1;1;0.0;2;0;0;173;NO;13;2;1053;32;31.0;32;NO
QPID;1;75e9bad6c3eb3a7bb207a10ec6719e859170396b;1;2;4;1.5369519129827665;852;0;0;497;NO;12;9;936;2;1.0;2;YES
QPID;1;d1140909a42f6a31467e6cfb7ec64d1fcbbe7f23;1;1;1;0.0;13;0;5;164;NO;11;0;825;10;9.0;10;NO
QPID;1;179c9ba089ee8b070f3c38243a70edb0af0e52dc;1;2;2;1.0;4;0;0;457;NO;11;0;814;74;73.0;74;NO
QPID;1;d8e6a0abd276b6d88aed8ac723b4b6873d71f067;1;1;3;1.5612781244591325;19;3;0;246;NO;11;0;803;73;72.0;73;NO
QPID;1;2bc85d1a4d6fd6d6b1639848c01dc45ce6cddc73;1;2;2;0.9852281360342516;28;0;0;304;NO;11;0;792;72;71.0;72;NO
QPID;1;f7d205d99826de4c72aa17d13829bb7004537291;1;1;1;0.0;3;0;1;305;NO;11;0;781;71;70.0;71;NO
QPID;1;cc26772c843fc0459724b1b7a4c3436a10e4cecf;1;5;8;2.5249449750847117;127;91;0;456;NO;11;0;770;70;69.0;70;NO
QPID;1;d51af27159fc0ed090a57505ceca52bc2bd1b0ff;1;1;1;0.0;1;0;1;41;NO;11;0;759;69;68.0;69;NO
QPID;1;fb725ed38d618bf0db29c63274646b121fd6b134;1;4;8;1.0;830;166;660;455;NO;11;1;748;68;67.0;68;NO
QPID;1;bb5a766abd27601d28a17ef28102c9b59d2734bd;1;1;1;0.0;2;0;0;210;NO;11;0;737;67;66.0;67;NO
QPID;1;55038197946d1018e6a2e3d1799b3ade82a910db;1;1;1;0.0;2;0;2;35;NO;11;0;726;66;65.0;66;NO
QPID;1;53d3412f46669ec272009b01f5f24e11ade333de;1;27;89;0.0;12244;5758;6486;449;NO;11;13;704;64;63.0;64;NO
QPID;1;da0440d5c823bd7986274c2656e51757de5babb2;2;2;2;0.0;32;0;2;317;NO;11;13;693;63;62.0;63;YES
QPID;1;79ec50d3ad5980bd588eb044b18a5dea0c82bda1;1;7;18;3.4095175835250813;572;362;10;216;NO;11;24;682;62;61.0;62;NO
QPID;1;d0795473c1d2e929e9cc306f2213a967a46820f2;1;3;5;1.6561016075061714;157;1;34;183;NO;11;11;671;61;60.0;61;NO
QPID;1;a73e5eeba122b2695bfba64639651dfc16255f81;2;2;2;0.6800770457282799;131;31;0;291;NO;11;0;660;60;59.0;60;YES
QPID;1;7ec870d5be570a759417eb92f4c69260480bc381;1;1;1;0.0;7;7;0;171;NO;11;0;649;59;58.0;59;NO
QPID;1;a2ed6f64ebb20eb0d11619e368770e4398f3b118;1;1;1;0.0;21;0;3;115;NO;11;0;638;19;18.0;19;NO
QPID;1;0cbc826d8029dc9e1743fddd4788f5c4cdb43251;1;1;1;0.0;26;22;0;269;NO;11;0;638;58;57.0;58;YES
QPID;1;ad3443cd0caaeb80934c26ebe2ab65e8c8029579;2;2;2;0.0;15;9;0;260;NO;11;3;627;57;56.0;57;NO
QPID;1;61f050168072317a7d7db48cdb723358d50699ef;1;1;1;0.0;18;10;0;250;NO;11;7;616;56;55.0;56;YES
QPID;1;7b425d779c168bd00b21ff258340242b8631d1b8;1;1;1;0.0;4;2;0;45;NO;11;5;605;18;17.0;18;NO
QPID;1;15d6253c1e617d4dfc09c0c0282a44401cf2781d;1;1;1;0.0;121;121;0;0;NO;11;0;605;17;16.0;17;NO
QPID;1;e255e3520d1ce199045c77d824916a9648bf7495;2;1;8;1.4113238488547601;1044;705;253;853;NO;11;10;605;55;54.0;55;YES
QPID;1;e0157610944a07202d19dd3b039e02a7c876b4bc;1;1;1;0.0;2;0;0;115;NO;11;0;594;16;15.0;16;NO
QPID;1;fca71b8e8834352253c93d00457e7c50dc81192b;1;1;1;0.0;10;10;0;105;NO;11;0;594;15;14.0;15;NO
QPID;1;c25b27b5cd9aa6575b9050e0c37d8a7b64a5c458;1;1;1;0.0;23;19;0;86;NO;11;4;583;14;13.0;14;NO
QPID;1;ec12c43c0406cf38f5a7475c0dde322f1fb5f9c2;1;1;1;0.0;33;0;33;33;NO;11;49;583;6;5.0;6;NO
QPID;1;2fbf815c086589af8f218690981eb7af21441e6f;1;1;1;0.0;86;86;0;0;NO;11;0;561;13;12.0;13;NO
QPID;1;7d8307dea2926851f5e3080d46e122df83258bc9;1;1;3;0.0;362;358;0;955;NO;11;5;561;12;11.0;12;YES
QPID;1;249532181187887e7ad56bda4a19e4b5294680a0;1;1;3;0.5435644431995964;161;145;0;1226;NO;11;10;561;11;10.0;11;YES
